CUSTOMER,MAWB_NO,HAWB_NO,TOTAL_NUMBER,TOTAL_WEIGHT,PERMIT_DATE,CUSTOMS_TYPE,HAWB_TYPE,CUSTOMS_TAX,TRANSFER_DATE,TRANSFER_NO,TRANSFER_COMPANY,TAX_PAYER
JUTB,888-11408368,JBX1002872,30,246.6,2024-10-22 12:04,SP,1,62400,2024-10-22 13:20,2410-22,NAKAMURA,SHIPPER
JUTB,888-11408368,JBX1002871,44,465.5,2024-10-22 12:31,SP,2,101800,2024-10-22 13:20,2410-22,NAKAMURA,SHIPPER
JUTB,888-11408367,JBX1008418,62,963.5,2024-10-22 12:50,SP,2,121400,2024-10-22 13:17,2410-22,NAKAMURA,SHIPPER
JUTB,888-11408367,JBX1008406,28,781.8,2024-10-22 12:50,SP,2,94800,2024-10-22 13:23,2410-22,NAKAMURA,SHIPPER
JUTB,888-11408367,JBX1002846,32,705.3,2024-10-22 12:50,SP,2,169500,2024-10-22 13:18,2410-22,NAKAMURA,IMPORTER
JUTB,888-11408367,JBX1002832,38,663.1,2024-10-22 12:50,SP,2,193200,2024-10-22 13:19,2410-22,NAKAMURA,IMPORTER
JUTB,888-11408367,JBX1008404,54,1561.1,2024-10-22 12:50,SP,2,696400,2024-10-22 13:17,2410-22,NAKAMURA,IMPORTER
JUTB,888-11408367,JBX1008411,24,411.6,2024-10-22 12:51,SP,2,32500,2024-10-22 13:24,2410-22,NAKAMURA,SHIPPER
JUTB,888-11408369,JBX1002772,147,1984.5,2024-10-22 15:10,SP,2,366400,2024-10-22 15:17,2410-22,NAKAMURA,IMPORTER
JUTB,888-99408370,JBX1153564,1,52.0,2024-10-22 16:03,SP,3K,4800,2024-10-23 08:49,2410-22,NAKAMURA,SHIPPER
JUTB,888-99408298,JBX1758781,16,414.9,2024-10-22 16:10,SP,2,90600,2024-10-23 08:49,2410-22,NAKAMURA,SHIPPER
JUTB,888-99408298,JBX1162112,7,71.5,2024-10-22 17:07,SP,2,54900,2024-10-23 08:49,2410-22,NAKAMURA,IMPORTER
UOFB,876-42339566,202381249302,36,550.8,2024-10-21 23:54,SP,2,69700,2024-10-22 07:35,2410-22,NAKAMURA,IMPORTER
UOFB,876-42339485,202208073362,1,271.0,2024-10-22 09:24,SP,1,537500,2024-10-22 11:29,2410-22,NAKAMURA,SHIPPER
